Stock,Date,Open,High,Low,Close,Volume,PctChange
LT,18-10-2022,1888.84,1926.85,1888.84,1913.78,1400000,1.85
LT,17-10-2022,1898.62,1909.69,1874.17,1878.96,2590000,-1.49
LT,14-10-2022,1895.72,1932.39,1894.18,1907.3,1820000,1.89
LT,13-10-2022,1896.72,1907.7,1864.05,1871.93,1300000,-1.84
LT,12-10-2022,1875.77,1911.69,1853.87,1906.95,1910000,1.72
LT,11-10-2022,1919.47,1919.47,1867.04,1874.72,1050000,-1.61
LT,10-10-2022,1900.71,1912.69,1879.26,1905.35,1660000,-0.77
LT,07-10-2022,1900.71,1924.61,1898.77,1920.22,1470000,0.61
LT,06-10-2022,1877.77,1914.68,1873.87,1908.65,2770000,2.21
LT,04-10-2022,1831.17,1876.72,1831.17,1867.34,1640000,2.87
LT,03-10-2022,1847.83,1847.83,1809.92,1815.21,1850000,-1.54
LT,30-09-2022,1819.85,1878.71,1811.96,1843.54,2340000,1.77
LT,29-09-2022,1840.5,1853.22,1793.36,1811.42,2380000,-1.09
LT,28-09-2022,1825.58,1851.82,1821.49,1831.32,1850000,-0.31
LT,27-09-2022,1851.82,1859.81,1828.38,1837.06,1440000,-0.55
LT,26-09-2022,1844.84,1872.58,1813.91,1847.28,1530000,-0.29
LT,23-09-2022,1885.75,1891.19,1848.38,1852.67,1950000,-1.66
LT,22-09-2022,1877.77,1901.31,1868.79,1883.95,1880000,-0.39
LT,21-09-2022,1916.78,1941.92,1887.34,1891.39,1620000,-1.92
LT,20-09-2022,1926.66,1951.4,1920.67,1928.35,1670000,1.15
LT,19-09-2022,1916.78,1927.6,1900.71,1906.4,1760000,-0.48
LT,16-09-2022,1942.62,1952.5,1910.69,1915.68,3880000,-1.92
LT,15-09-2022,1954.69,1980.23,1950.4,1953.1,1570000,0.18
LT,14-09-2022,1960.23,1968.51,1945.01,1949.5,2320000,-1.88
LT,13-09-2022,1964.47,1990.51,1958.68,1986.87,1760000,1.5
LT,12-09-2022,1945.36,1962.57,1943.52,1957.49,791710,0.62
